Frame ID,Object ID,LocationX,LocationY
0,9,62.2,8.1
1,9,62.2,8.1
2,9,62.2,8.1
3,9,62.3,8.1
4,9,62.7,8.1
5,9,62.8,8.1
6,9,62.8,8.1
7,9,62.8,8.1
8,9,62.9,8.1
9,9,62.9,8.1
10,9,62.9,8.1
11,9,62.9,8.1
12,9,63.0,8.1
13,9,63.0,8.1
14,9,63.1,8.1
15,9,63.1,8.1
16,9,63.1,8.1
17,9,63.1,8.1
18,9,63.6,8.1
19,9,63.7,8.1
20,9,63.7,8.1
21,9,63.7,8.1
22,9,63.8,8.1
23,9,63.8,8.1
24,9,63.8,8.1
25,9,63.8,8.1
26,9,63.9,8.1
27,9,63.9,8.1
28,9,63.9,8.1
29,9,64.0,8.1
30,9,64.0,8.1
31,9,64.0,8.1
32,9,64.1,8.1
33,9,64.5,8.1
34,9,64.6,8.1
35,9,64.6,8.1
36,9,64.6,8.1
37,9,64.7,8.2
38,9,64.7,8.2
39,9,64.7,8.2
40,9,64.7,8.2
41,9,64.8,8.2
42,9,64.8,8.2
43,9,64.9,8.2
44,9,64.9,8.2
45,9,64.9,8.2
46,9,64.9,8.2
47,9,65.0,8.2
48,9,65.4,8.2
49,9,65.4,8.2
50,9,65.5,8.2
51,9,65.5,8.2
52,9,65.5,8.2
53,9,65.6,8.2
54,9,65.6,8.2
55,9,65.6,8.2
56,9,65.7,8.2
57,9,65.7,8.2
58,9,65.7,8.2
59,9,65.8,8.2
60,9,65.8,8.2
61,9,65.8,8.2
62,9,65.9,8.2
63,9,66.3,8.2
64,9,66.4,8.2
65,9,66.4,8.2
66,9,66.4,8.2
67,9,66.5,8.2
68,9,66.5,8.2
69,9,66.5,8.2
70,9,66.5,8.2
71,9,66.6,8.2
72,9,66.6,8.2
73,9,66.6,8.2
74,9,66.7,8.2
75,9,66.7,8.2
76,9,66.7,8.2
77,9,67.2,8.2
78,9,67.2,8.2
79,9,67.3,8.2
80,9,67.3,8.2
81,9,67.4,8.2
82,9,67.4,8.2
83,9,67.4,8.2
84,9,67.4,8.2
85,9,67.5,8.2
86,9,67.5,8.2
87,9,67.5,8.2
88,9,67.6,8.2
89,9,67.6,8.2
90,9,67.6,8.2
91,9,68.1,8.2
92,9,68.2,8.2
93,9,68.2,8.2
94,9,68.2,8.2
95,9,68.2,8.2
96,9,68.3,8.2
97,9,68.3,8.2
98,9,68.3,8.2
99,9,68.4,8.2
100,9,68.4,8.2
101,9,68.4,8.2
102,9,68.5,8.2
103,9,68.5,8.2
104,9,68.5,8.2
105,9,69.0,8.2
106,9,69.0,8.2
107,9,69.1,8.2
108,9,69.1,8.2
109,9,69.1,8.2
110,9,69.2,8.2
111,9,69.2,8.2
112,9,69.3,8.2
113,9,69.3,8.2
114,9,69.3,8.2
115,9,69.3,8.2
116,9,69.4,8.2
117,9,69.4,8.2
118,9,69.4,8.2
119,9,69.9,8.3
120,9,69.9,8.3
121,9,70.0,8.3
122,9,70.0,8.3
123,9,70.0,8.3
124,9,70.0,8.3
125,9,70.1,8.3
126,9,70.1,8.3
127,9,70.2,8.3
128,9,70.2,8.4
129,9,70.2,8.4
130,9,70.2,8.4
131,9,70.3,8.4
132,9,70.3,8.4
133,9,70.8,8.5
134,9,70.8,8.5
135,9,70.9,8.5
136,9,70.9,8.5
137,9,70.9,8.5
138,9,70.9,8.5
139,9,71.0,8.5
140,9,71.0,8.5
141,9,71.0,8.5
142,9,71.1,8.6
143,9,71.1,8.6
144,9,71.1,8.6
145,9,71.2,8.6
146,9,71.2,8.6
147,9,71.6,8.7
148,9,71.7,8.7
149,9,71.7,8.7
150,9,71.7,8.7
151,9,71.8,8.7
152,9,71.8,8.7
153,9,71.8,8.7
154,9,71.9,8.7
155,9,71.9,8.7
156,9,71.9,8.7
157,9,72.0,8.7
158,9,72.0,8.8
159,9,72.0,8.8
160,9,72.1,8.8
161,9,72.1,8.8
162,9,72.5,8.9
163,9,72.6,8.9
164,9,72.6,8.9
165,9,72.6,8.9
166,9,72.7,8.9
167,9,72.7,8.9
168,9,72.7,8.9
169,9,72.8,8.9
170,9,72.8,8.9
171,9,72.8,8.9
172,9,72.8,8.9
173,9,72.9,8.9
174,9,72.9,8.9
175,9,72.9,8.9
176,9,73.3,9.0
177,9,73.3,9.0
178,9,73.3,9.0
179,9,73.3,9.0
180,9,73.4,9.0
181,9,73.4,9.0
182,9,73.4,9.0
183,9,73.4,9.1
184,9,73.5,9.1
185,9,73.5,9.1
186,9,73.5,9.1
187,9,73.5,9.1
188,9,73.6,9.1
189,9,73.6,9.1
190,9,73.9,9.2
191,9,74.0,9.2
192,9,74.0,9.2
193,9,74.0,9.2
194,9,74.0,9.3
195,9,74.1,9.3
196,9,74.1,9.3
197,9,74.1,9.3
198,9,74.1,9.3
199,9,74.2,9.3
200,9,74.2,9.3
201,9,74.2,9.3
202,9,74.2,9.3
203,9,74.6,9.5
204,9,74.6,9.5
205,9,74.6,9.6
206,9,74.7,9.6
207,9,74.7,9.6
208,9,74.7,9.6
209,9,74.7,9.6
210,9,74.8,9.6
211,9,74.8,9.6
212,9,74.8,9.7
213,9,74.9,9.7
214,9,74.9,9.7
215,9,74.9,9.7
216,9,75.4,9.8
217,9,75.4,9.8
218,9,75.4,9.8
219,9,75.4,9.9
220,9,75.5,9.9
221,9,75.5,9.9
222,9,75.5,9.9
223,9,75.5,9.9
224,9,75.6,9.9
225,9,75.6,9.9
226,9,75.6,9.9
227,9,75.6,10.0
228,9,75.7,10.0
229,9,76.0,10.1
230,9,76.0,10.2
231,9,76.0,10.2
232,9,76.1,10.2
233,9,76.1,10.2
234,9,76.1,10.2
235,9,76.1,10.2
236,9,76.1,10.2
237,9,76.2,10.2
238,9,76.2,10.2
239,9,76.2,10.2
240,9,76.2,10.3
241,9,76.2,10.3
242,9,76.3,10.3
243,9,76.5,10.4
244,9,76.5,10.4
245,9,76.6,10.4
246,9,76.6,10.4
247,9,76.6,10.4
248,9,76.6,10.4
249,9,76.6,10.4
250,9,76.7,10.4
251,9,76.7,10.4
252,9,76.7,10.4
253,9,76.7,10.4
254,9,76.7,10.4
255,9,76.8,10.4
256,9,76.8,10.4
257,9,77.1,10.5
258,9,77.1,10.5
259,9,77.2,10.5
260,9,77.2,10.5
261,9,77.2,10.5
262,9,77.2,10.5
263,9,77.3,10.5
264,9,77.3,10.5
265,9,77.3,10.5
266,9,77.3,10.5
267,9,77.4,10.5
268,9,77.4,10.5
269,9,77.4,10.5
270,9,77.4,10.5
271,9,77.8,10.4
272,9,77.8,10.4
273,9,77.8,10.4
274,9,77.8,10.4
275,9,77.9,10.4
276,9,77.9,10.4
277,9,77.9,10.4
278,9,78.0,10.4
279,9,78.0,10.4
280,9,78.0,10.4
281,9,78.0,10.4
282,9,78.0,10.4
283,9,78.1,10.4
284,9,78.1,10.4
285,9,78.5,10.4
286,9,78.5,10.4
287,9,78.6,10.4
288,9,78.6,10.4
289,9,78.6,10.4
290,9,78.7,10.4
291,9,78.7,10.4
292,9,78.7,10.5
293,9,78.8,10.5
294,9,78.8,10.5
295,9,78.8,10.5
296,9,78.9,10.5
297,9,78.9,10.5
298,9,78.9,10.5
299,9,79.4,10.6
300,9,79.4,10.6
301,9,79.5,10.6
302,9,79.5,10.6
303,9,79.5,10.6
304,9,79.6,10.6
305,9,79.6,10.6
306,9,79.6,10.6
307,9,79.6,10.6
308,9,79.7,10.7
309,9,79.7,10.7
310,9,79.7,10.7
311,9,79.8,10.7
312,9,79.8,10.7
313,9,80.3,10.8
314,9,80.3,10.8
315,9,80.3,10.8
316,9,80.4,10.8
317,9,80.4,10.8
318,9,80.4,10.8
319,9,80.5,10.8
320,9,80.5,10.8
321,9,80.5,10.8
322,9,80.6,10.8
323,9,80.6,10.8
324,9,80.6,10.9
325,9,80.7,10.9
326,9,80.7,10.9
327,9,81.2,11.0
328,9,81.2,11.0
329,9,81.2,11.0
330,9,81.3,11.0
331,9,81.3,11.0
332,9,81.3,11.0
333,9,81.3,11.0
334,9,81.4,11.0
335,9,81.4,11.0
336,9,81.4,11.0
337,9,81.5,11.0
338,9,81.5,11.0
339,9,81.5,11.0
340,9,81.6,11.1
341,9,82.1,11.2
342,9,82.1,11.2
343,9,82.1,11.2
344,9,82.1,11.2
345,9,82.2,11.2
346,9,82.2,11.2
347,9,82.2,11.2
348,9,82.3,11.2
349,9,82.3,11.2
350,9,82.3,11.2
351,9,82.4,11.2
352,9,82.4,11.2
353,9,82.4,11.2
354,9,82.5,11.2
355,9,82.9,11.3
356,9,83.0,11.3
357,9,83.0,11.3
358,9,83.0,11.4
359,9,83.1,11.4
360,9,83.1,11.4
361,9,83.1,11.4
362,9,83.1,11.4
363,9,83.2,11.4
364,9,83.2,11.4
365,9,83.2,11.4
366,9,83.3,11.4
367,9,83.3,11.4
368,9,83.3,11.4
369,9,83.8,11.5
370,9,83.8,11.5
371,9,83.9,11.5
372,9,83.9,11.5
373,9,83.9,11.5
374,9,84.0,11.6
375,9,84.0,11.6
376,9,84.0,11.6
377,9,84.0,11.6
378,9,84.1,11.6
379,9,84.1,11.6
380,9,84.1,11.6
381,9,84.2,11.6
382,9,84.2,11.6
383,9,84.7,11.7
384,9,84.7,11.7
385,9,84.7,11.7
386,9,84.8,11.7
387,9,84.8,11.7
388,9,84.8,11.7
389,9,84.9,11.7
390,9,84.9,11.8
391,9,84.9,11.8
392,9,85.0,11.8
393,9,85.0,11.8
394,9,85.0,11.8
395,9,85.1,11.8
396,9,85.1,11.8
397,9,85.6,11.9
398,9,85.6,11.9
399,9,85.6,11.9
400,9,85.6,11.9
401,9,85.7,11.9
402,9,85.7,11.9
403,9,85.8,11.9
404,9,85.8,11.9
405,9,85.8,11.9
406,9,85.8,11.9
407,9,85.9,12.0
408,9,85.9,12.0
409,9,85.9,12.0
410,9,86.0,12.0
411,9,86.0,12.0
412,9,86.4,12.1
413,9,86.5,12.1
414,9,86.5,12.1
415,9,86.5,12.1
416,9,86.6,12.1
417,9,86.6,12.1
418,9,86.6,12.1
419,9,86.7,12.1
420,9,86.7,12.1
421,9,86.7,12.1
422,9,86.7,12.1
423,9,86.8,12.1
424,9,86.8,12.2
425,9,86.8,12.2
426,9,87.3,12.3
427,9,87.4,12.3
428,9,87.4,12.3
429,9,87.4,12.3
430,9,87.4,12.3
431,9,87.5,12.3
432,9,87.5,12.3
433,9,87.5,12.3
434,9,87.6,12.3
435,9,87.6,12.3
436,9,87.6,12.3
437,9,87.7,12.3
438,9,87.7,12.3
439,9,87.7,12.3
440,9,88.2,12.4
441,9,88.2,12.5
442,9,88.3,12.5
443,9,88.3,12.5
444,9,88.3,12.5
445,9,88.4,12.5
446,9,88.4,12.5
447,9,88.4,12.5
448,9,88.4,12.5
449,9,88.5,12.5
450,9,88.5,12.5
451,9,88.6,12.5
452,9,88.6,12.5
453,9,88.6,12.5
454,9,89.1,12.6
455,9,89.1,12.6
456,9,89.2,12.6
457,9,89.2,12.6
458,9,89.2,12.7
459,9,89.2,12.7
460,9,89.3,12.7
461,9,89.3,12.7
462,9,89.3,12.7
463,9,89.4,12.7
464,9,89.4,12.7
465,9,89.5,12.7
466,9,89.5,12.7
467,9,89.5,12.7
468,9,90.0,12.8
469,9,90.0,12.8
470,9,90.0,12.8
471,9,90.0,12.9
472,9,90.1,12.9
473,9,90.1,12.9
474,9,90.1,12.9
475,9,90.1,12.9
476,9,90.1,12.9
477,9,90.2,12.9
478,9,90.2,12.9
479,9,90.2,12.9
480,9,90.2,12.9
481,9,90.3,12.9
482,9,90.6,13.1
483,9,90.6,13.1
484,9,90.6,13.1
485,9,90.6,13.1
486,9,90.7,13.1
487,9,90.7,13.1
488,9,90.7,13.1
489,9,90.7,13.1
490,9,90.7,13.1
491,9,90.8,13.2
492,9,90.8,13.2
493,9,90.8,13.2
494,9,90.8,13.2
495,9,90.8,13.2
496,9,91.1,13.3
497,9,91.1,13.4
498,9,91.1,13.4
499,9,91.1,13.4
500,9,91.2,13.4
501,9,91.2,13.4
502,9,91.2,13.4
503,9,91.2,13.4
504,9,91.2,13.4
505,9,91.2,13.4
506,9,91.2,13.5
507,9,91.3,13.5
508,9,91.3,13.5
509,9,91.3,13.5
510,9,91.5,13.7
511,9,91.5,13.7
512,9,91.5,13.7
513,9,91.5,13.7
514,9,91.5,13.8
515,9,91.5,13.8
516,9,91.6,13.8
517,9,91.6,13.8
518,9,91.6,13.8
519,9,91.6,13.8
520,9,91.6,13.8
521,9,91.6,13.9
522,9,91.6,13.9
523,9,91.6,13.9
